#Note 1: The lat. lon. and depth are corresponding to the centroid location of each subfault
#Note 2: Asymetric cosine functions are used to approximate the slip rate functions
#Total number of fault_segments=     1
#Fault_segment=   1 nx(Along-strike)=  34 Dx= 20.00 km ny(downdip)=  12 Dy= 16.00 km
#+++Boundary of Fault_segment+++     1
#Lon.    Lat.    Depth
       93.3712         3.8409        2.9324
       91.5328         9.4898        2.9324
       92.9902         9.9625        48.4845
       94.8287         4.3137	     48.4845
       93.3712         3.8409        2.9324
#Lat. 	     Lon.      depth 	 slip     rake 	    strike	dip
    3.9269   93.6362  11.2146    0.0000   30.0000   342.00000	15.00000  
    4.0981   93.5805  11.2146    2.6174   95.8132   342.00000	15.00000  
    4.2693   93.5248  11.2146    5.2868   91.9643   342.00000	15.00000  
    4.4404   93.4691  11.2146    6.2767   96.2578   342.00000	15.00000  
    4.6116   93.4134  11.2146    7.6341  106.2051   342.00000	15.00000  
    4.7828   93.3577  11.2146    9.1236  110.0244   342.00000	15.00000  
    4.9540   93.3020  11.2146    8.9040  102.6257   342.00000	15.00000  
    5.1251   93.2463  11.2146    7.8237   89.2116   342.00000	15.00000  
    5.2963   93.1905  11.2146    7.0347   65.7743   342.00000	15.00000  
    5.4675   93.1348  11.2146    5.7910   50.8477   342.00000	15.00000  
    5.6387   93.0791  11.2146    3.6943   66.3519   342.00000	15.00000  
    5.8098   93.0234  11.2146    2.9267  118.2782   342.00000	15.00000  
    5.9810   92.9677  11.2146    3.4517  146.1562   342.00000	15.00000  
    6.1522   92.9120  11.2146    3.0923  142.5940   342.00000	15.00000  
    6.3234   92.8563  11.2146    2.2443  116.3932   342.00000	15.00000  
    6.4946   92.8006  11.2146    2.4152   96.9242   342.00000	15.00000  
    6.6657   92.7449  11.2146    2.4210   96.5300   342.00000	15.00000  
    6.8369   92.6891  11.2146    2.6146  107.9465   342.00000	15.00000  
    7.0081   92.6334  11.2146    3.6084  115.1820   342.00000	15.00000  
    7.1793   92.5777  11.2146    4.3465  105.7244   342.00000	15.00000  
    7.3504   92.5220  11.2146    4.5593  101.4097   342.00000	15.00000  
    7.5216   92.4663  11.2146    4.1437  104.5469   342.00000	15.00000  
    7.6928   92.4106  11.2146    3.7430  105.6098   342.00000	15.00000  
    7.8640   92.3549  11.2146    4.2786   93.7143   342.00000	15.00000  
    8.0351   92.2992  11.2146    4.6263   83.8148   342.00000	15.00000  
    8.2063   92.2435  11.2146    3.7072   76.6665   342.00000	15.00000  
    8.3775   92.1877  11.2146    2.1104   65.1134   342.00000	15.00000  
    8.5487   92.1320  11.2146    0.7445   36.3405   342.00000	15.00000  
    8.7198   92.0763  11.2146    0.0380   51.6894   342.00000	15.00000  
    8.8910   92.0206  11.2146    0.3961  131.1396   342.00000	15.00000  
    9.0622   91.9649  11.2146    0.4382  129.2415   342.00000	15.00000  
    9.2334   91.9092  11.2146    0.8196  120.7159   342.00000	15.00000  
    9.4046   91.8535  11.2146    0.6027  105.6062   342.00000	15.00000  
    9.5757   91.7978  11.2146    0.4763   91.9428   342.00000	15.00000  
    3.9699   93.7687  15.3557    0.0000   30.0000   342.00000	15.00000  
    4.1411   93.7130  15.3557    0.0000   30.0000   342.00000	15.00000  
    4.3122   93.6573  15.3557    5.2624  107.5160   342.00000	15.00000  
    4.4834   93.6016  15.3557    6.4435  112.6284   342.00000	15.00000  
    4.6546   93.5459  15.3557    7.4217  115.8202   342.00000	15.00000  
    4.8258   93.4902  15.3557    8.6609  116.4237   342.00000	15.00000  
