#Note 1: The lat. lon. and depth are corresponding to the centroid location of each subfault
#Note 2: Asymetric cosine functions are used to approximate the slip rate functions (Ji, et al., 2003JGR)
#Total number of fault_segments=     1
#Fault_segment=   1 nx(Along-strike)=  15 Dx= 20.00 km ny(downdip)=  14 Dy= 16.00 km
#+++Boundary of Fault_segment+++     1
#Lon.    Lat.    Depth
       95.2389         1.9363        3.4075
       93.4541         3.7181        3.4075
       94.7510	       5.0127        46.6531
       96.5357 	       3.2310        46.6531
       95.2389         1.9363        3.4075
#Lat. 	     Lon.      depth 	 slip     rake 	    strike	dip 
    3.0706   95.1002  20.0404    4.7414  114.8476   315.00000	12.00000
    3.1979   94.9728  20.0404    5.3023  108.5590   315.00000	12.00000
    3.3251   94.8453  20.0404    5.5236  104.9356   315.00000	12.00000
    3.4524   94.7178  20.0404    4.8018  112.5716   315.00000	12.00000
    3.5797   94.5903  20.0404    3.1764  118.3893   315.00000	12.00000
    3.7069   94.4628  20.0404    3.0258   95.0526   315.00000	12.00000
    3.8342   94.3354  20.0404    5.2446   94.4454   315.00000	12.00000
    3.9615   94.2079  20.0404    8.0950   98.6261   315.00000	12.00000
    4.0887   94.0804  20.0404    9.4444   98.0989   315.00000	12.00000
    4.2160   93.9529  20.0404    7.9828   92.5938   315.00000	12.00000
    2.5338   95.8374  23.3670    2.4918   60.1109   315.00000	12.00000
    2.6611   95.7099  23.3670    2.3098   80.8155   315.00000	12.00000
    2.7884   95.5824  23.3670    2.2983   92.4089   315.00000	12.00000
    2.9156   95.4550  23.3670    2.2144  100.7118   315.00000	12.00000
    3.0429   95.3275  23.3670    3.1926  119.4943   315.00000	12.00000
    3.1702   95.2000  23.3670    3.6049  102.7370   315.00000	12.00000
    3.2975   95.0725  23.3670    4.5099   88.0405   315.00000	12.00000
    3.4247   94.9450  23.3670    4.4244   84.8621   315.00000	12.00000
    3.5520   94.8176  23.3670    3.7883  117.2196   315.00000	12.00000
    3.6793   94.6901  23.3670    3.1851  119.4436   315.00000	12.00000
    3.8065   94.5626  23.3670    4.2416   79.1814   315.00000	12.00000
    3.9338   94.4351  23.3670    7.2093   77.1092   315.00000	12.00000
    4.0611   94.3076  23.3670    9.8049   83.9208   315.00000	12.00000
    4.1883   94.1802  23.3670   10.5011   90.0554   315.00000	12.00000
    4.3156   94.0527  23.3670    7.5130   85.2165   315.00000	12.00000
    2.6334   95.9372  26.6936    1.2757   60.7725   315.00000	12.00000
    2.7607   95.8097  26.6936    1.1640  117.7796   315.00000	12.00000
    2.8880   95.6822  26.6936    0.5601  119.0706   315.00000	12.00000
    3.0152   95.5547  26.6936    0.3452  119.6645   315.00000	12.00000
    3.1425   95.4272  26.6936    1.2128  119.2010   315.00000	12.00000
    3.2698   95.2998  26.6936    2.7515   73.5460   315.00000	12.00000
    3.3970   95.1723  26.6936    5.3928   60.3441   315.00000	12.00000
    3.5243   95.0448  26.6936    5.4489   60.0479   315.00000	12.00000
    3.6516   94.9173  26.6936    3.6347   84.5931   315.00000	12.00000
    3.7788   94.7898  26.6936    3.6663   89.9312   315.00000	12.00000
    3.9061   94.6623  26.6936    5.6805   67.0959   315.00000	12.00000
    4.0334   94.5349  26.6936    8.5053   64.2289   315.00000	12.00000
    4.1607   94.4074  26.6936   10.5185   74.0409   315.00000	12.00000
    4.2879   94.2799  26.6936   10.3244   86.7541   315.00000	12.00000
    4.4152   94.1524  26.6936    7.2516  103.4377   315.00000	12.00000
    2.7330   96.0369  30.0202    1.4897  118.6473   315.00000	12.00000
    2.8603   95.9094  30.0202    3.0356   90.6660   315.00000	12.00000
    2.9876   95.7819  30.0202    1.2256  119.5516   315.00000	12.00000
    3.1148   95.6545  30.0202    0.5113   63.2013   315.00000	12.00000
    3.2421   95.5270  30.0202    0.8398  119.6359   315.00000	12.00000
    3.3694   95.3995  30.0202    2.8990  109.5894   315.00000	12.00000
    3.4966   95.2720  30.0202    5.0515   93.7553   315.00000	12.00000
    3.6239   95.1445  30.0202    5.8331   80.5676   315.00000	12.00000
    3.7512   95.0171  30.0202    4.5225   86.2022   315.00000	12.00000
    3.8784   94.8896  30.0202    4.4559   85.3409   315.00000	12.00000
    4.0057   94.7621  30.0202    6.5309   71.4534   315.00000	12.00000
    4.1330   94.6346  30.0202    9.1455   67.6414   315.00000	12.00000
    4.2602   94.5071  30.0202   10.7066   77.5758   315.00000	12.00000
    4.3875   94.3797  30.0202   10.2101   89.2695   315.00000	12.00000
    4.5148   94.2522  30.0202    7.6499  117.0286   315.00000	12.00000
    2.8326   96.1367  33.3468    2.8717  119.5563   315.00000	12.00000
    2.9599   96.0092  33.3468    6.1938   97.6245   315.00000	12.00000
    3.0871   95.8817  33.3468    3.2323  107.1038   315.00000	12.00000
    3.2144   95.7542  33.3468    3.4942   89.5767   315.00000	12.00000
    3.3417   95.6267  33.3468    5.3916   78.9375   315.00000	12.00000
    3.4690   95.4993  33.3468    6.0678   92.0984   315.00000	12.00000
    3.5962   95.3718  33.3468    7.0801  110.7213   315.00000	12.00000
    3.7235   95.2443  33.3468    7.8116  100.1513   315.00000	12.00000
    3.8508   95.1168  33.3468    5.8833  104.3836   315.00000	12.00000
    3.9780   94.9893  33.3468    5.3684  117.2488   315.00000	12.00000
    4.1053   94.8619  33.3468    7.2071   85.3953   315.00000	12.00000
    4.2326   94.7344  33.3468   10.4036   79.7114   315.00000	12.00000
    4.3598   94.6069  33.3468   11.3879   83.4192   315.00000	12.00000
    4.4871   94.4794  33.3468   10.4503   92.2794   315.00000	12.00000
    4.6144   94.3519  33.3468    8.6648  112.0772   315.00000	12.00000
    2.9322   96.2364  36.6734    2.4658  119.9163   315.00000	12.00000
    3.0595   96.1089  36.6734    7.0107   72.5922   315.00000	12.00000
    3.1867   95.9815  36.6734    2.8802   89.6779   315.00000	12.00000
    3.3140   95.8540  36.6734    2.1267   89.7483   315.00000	12.00000
    3.4413   95.7265  36.6734    4.7944   72.4884   315.00000	12.00000
    3.5685   95.5990  36.6734    4.2461   61.3535   315.00000	12.00000
    3.6958   95.4715  36.6734    6.0644  108.4663   315.00000	12.00000
    3.8231   95.3441  36.6734    7.4690   97.6710   315.00000	12.00000
    3.9504   95.2166  36.6734    6.6118  104.4575   315.00000	12.00000
    4.0776   95.0891  36.6734    6.4776  119.3058   315.00000	12.00000
    4.2049   94.9616  36.6734    8.0521   99.1130   315.00000	12.00000
    4.3322   94.8341  36.6734   10.7257   89.1808   315.00000	12.00000
    4.4594   94.7067  36.6734   11.4326   86.1835   315.00000	12.00000
    4.5867   94.5792  36.6734   10.3823   86.0047   315.00000	12.00000
    4.7140   94.4517  36.6734    7.9505   94.1170   315.00000	12.00000
    3.0318   96.3362  40.0000    1.7713  119.8421   315.00000	12.00000
    3.1591   96.2087  40.0000    5.2225   60.0385   315.00000	12.00000
    3.2863   96.0812  40.0000    2.3203   60.1748   315.00000	12.00000
    3.4136   95.9537  40.0000    1.5486   64.3490   315.00000	12.00000
    3.5409   95.8263  40.0000    3.0297   75.9165   315.00000	12.00000
    3.6681   95.6988  40.0000    1.6205   61.2067   315.00000	12.00000
    3.7954   95.5713  40.0000    7.0136   88.6468   315.00000	12.00000
    3.9227   95.4438  40.0000    8.9533   86.7070   315.00000	12.00000
    4.0499   95.3163  40.0000    7.7857  104.4611   315.00000	12.00000
    4.1772   95.1889  40.0000    7.7406  119.8037   315.00000	12.00000
    4.3045   95.0614  40.0000    8.1550  108.5953   315.00000	12.00000
    4.4317   94.9339  40.0000    9.7256  101.4470   315.00000	12.00000
    4.5590   94.8064  40.0000    9.6050   93.5945   315.00000	12.00000
    4.6863   94.6789  40.0000    8.9848   83.0550   315.00000	12.00000
    4.8136   94.5515  40.0000    7.1031   74.0297   315.00000	12.00000
    3.1314   96.4359  43.3266    1.5029  113.8005   315.00000	12.00000
    3.2586   96.3085  43.3266    0.9752  119.2831   315.00000	12.00000
    3.3859   96.1810  43.3266    1.8638   92.9155   315.00000	12.00000
    3.5132   96.0535  43.3266    1.7971  119.9660   315.00000	12.00000
    3.6405   95.9260  43.3266    1.9468  119.9939   315.00000	12.00000
    3.7677   95.7985  43.3266    2.2176   82.1391   315.00000	12.00000
    3.8950   95.6710  43.3266    7.3298   79.3278   315.00000	12.00000
    4.0223   95.5436  43.3266    7.8786   83.2421   315.00000	12.00000
    4.1495   95.4161  43.3266    7.1122  109.4210   315.00000	12.00000
    4.2768   95.2886  43.3266    5.8668  115.3728   315.00000	12.00000
    4.4041   95.1611  43.3266    5.4130  104.9354   315.00000	12.00000
    4.5313   95.0336  43.3266    6.0719  104.2578   315.00000	12.00000
    4.6586   94.9062  43.3266    6.1974   97.9805   315.00000	12.00000
